tokens,caracteres,palabras_unicas
21,133,19
190,1144,122
29,163,18
80,475,39
42,286,24
81,470,38
45,318,26
183,1277,168
72,406,38
129,857,106
77,458,27
33,169,18
37,244,23
64,412,31
59,350,26
76,574,43
55,331,31
28,150,16
104,648,29
69,409,20
51,322,11
126,731,24
42,259,24
35,188,20
85,499,27
82,563,71
50,315,18
134,782,72
30,169,25
119,718,45
121,703,82
55,309,25
55,310,27
98,637,37
34,196,15
91,586,34
94,583,51
157,913,72
33,194,7
45,255,15
34,203,28
64,402,58
24,157,18
70,401,41
48,292,30
79,482,49
43,311,42
84,513,30
52,285,16
71,422,23
74,418,46
41,263,36
34,237,19
170,1292,116
46,333,21
36,203,20
14,104,11
90,528,38
45,271,21
49,279,19
45,246,16
105,786,49
1,4,1
31,211,18
37,189,12
65,379,29
84,465,25
171,1041,121
99,620,91
31,254,26
94,550,40
66,381,50
60,327,29
62,394,39
50,309,27
78,512,37
77,433,56
36,221,33
66,419,33
161,876,66
61,353,42
60,375,42
60,422,31
28,186,20
71,422,42
117,684,66
171,1014,76
23,136,20
16,93,12
40,253,31
22,153,7
46,276,28
40,230,21
47,260,32
109,665,29
132,803,57
167,1025,113
30,219,21
68,390,43
46,277,25
119,769,54
51,287,45
93,633,50
119,759,93
80,500,50
88,471,11
60,355,39
83,474,46
45,229,12
44,290,35
64,427,59
50,330,37
111,697,77
149,871,33
46,295,39
76,416,32
71,406,40
191,1178,147
105,652,53
188,1191,153
22,137,22
59,316,22
28,189,15
74,416,34
186,1070,56
42,292,12
137,827,111
25,140,22
72,512,47
14,79,13
130,804,101
50,284,31
118,756,78
30,187,25
41,254,36
56,374,25
66,404,40
114,688,55
31,178,21
103,635,61
171,1099,100
94,561,77
65,402,18
183,1142,74
32,180,25
77,468,39
66,395,30
59,361,21
71,387,33
71,405,23
55,313,36
93,554,45
47,263,33
71,412,47
62,397,33
79,498,50
57,361,23
179,1085,146
16,112,11
51,294,28
59,352,32
76,460,44
19,101,16
39,204,31
26,135,6
160,973,57
52,349,31
18,109,9
44,244,29
185,1089,99
106,680,54
51,338,33
180,1106,122
57,424,36
24,151,22
45,291,32
23,131,19
72,435,30
36,206,28
60,374,33
38,227,18
90,548,41
14,88,10
112,714,43
80,526,49
63,372,45
137,890,71
49,276,26
198,1315,95
127,900,113
16,96,11
66,362,27
43,251,26
47,271,36
59,363,20
81,498,34
58,328,33
95,536,46
55,321,29
76,433,41
112,643,35
68,425,44
43,249,29
35,225,19
49,275,24
63,425,21
33,206,23
119,703,48
8,47,7
63,362,47
80,553,37
106,637,48
52,315,25
101,580,50
124,755,96
64,369,30
75,514,44
11,76,8
23,148,10
44,314,33
20,116,17
60,412,45
42,279,20
40,239,23
46,262,32
62,380,41
44,319,21
192,1306,171
162,1014,122
165,1019,118
64,374,35
85,575,42
99,569,44
21,123,15
45,295,42
139,928,84
111,699,89
117,740,55
164,1111,147
96,607,44
22,152,17
16,98,12
81,522,44
75,525,43
34,196,31
73,431,34
62,346,26
50,280,36
31,190,22
17,99,16
179,1107,88
69,404,47
55,336,36
77,470,35
81,492,35
78,470,45
26,140,11
23,145,14
44,279,26
95,609,72
129,840,77
65,371,41
152,924,53
68,397,31
25,164,11
112,667,66
152,1001,67
169,992,129
27,180,24
139,764,43
80,475,66
65,344,20
62,368,23
64,407,31
52,315,22
45,259,34
32,217,25
54,325,28
63,417,39
77,489,54
25,142,17
142,859,88
183,1197,128
34,219,8
51,328,37
70,494,38
39,228,19
34,205,21
20,135,12
25,140,18
72,451,27
141,832,31
60,381,37
48,308,21
63,387,37
45,261,26
34,202,33
129,795,86
85,537,52
43,255,30
149,1051,43
55,311,17
25,137,19
71,516,38
36,208,27
105,619,53
4,32,4
63,379,57
115,588,44
67,440,42
21,121,19
98,625,43
143,819,108
40,235,27
48,277,38
78,454,47
56,329,14
53,356,26
194,1164,51
145,945,109
55,329,49
180,1108,52
40,253,17
61,330,18
52,293,12
75,480,53
74,476,54
83,528,43
51,292,17
87,536,73
84,561,81
92,531,46
116,716,51
68,423,56
85,483,24
41,238,22
69,394,25
46,267,11
40,228,30
68,418,44
60,406,32
55,319,34
59,331,39
148,845,76
108,618,48
48,297,29
86,525,46
79,496,38
57,349,44
153,954,59
35,228,17
99,609,51
85,565,30
105,601,37
56,358,45
55,347,34
15,99,12
42,281,12
118,712,50
62,360,29
50,324,42
62,398,36
179,1062,130
157,914,66
52,310,30
65,364,26
25,158,15
139,843,52
34,190,26
55,329,24
76,490,43
145,922,65
77,468,35
93,550,56
78,457,43
83,514,46
107,670,56
74,439,58
142,895,103
40,272,25
174,1003,88
119,689,76
72,431,45
31,167,10
20,122,11
44,263,37
91,576,24
144,1025,93
107,636,43
35,218,19
38,217,19
162,918,58
45,268,24
63,375,23
105,539,44
182,1168,115
65,430,47
31,177,14
45,299,32
73,452,60
119,773,80
112,730,72
81,472,46
70,459,64
170,990,101
184,1136,136
108,663,65
54,323,20
48,289,34
107,627,77
105,680,77
34,205,16
61,351,48
43,269,36
59,330,39
18,108,14
64,381,34
104,630,65
39,226,19
41,248,31
89,627,31
64,418,29
58,362,42
49,263,16
76,474,49
83,506,37
108,648,89
72,411,40
119,726,97
122,731,77
95,570,70
89,506,30
69,406,43
31,194,21
47,274,25
70,436,48
39,264,36
47,291,33
82,539,45
147,895,70
81,479,36
93,569,45
52,296,27
60,368,39
64,408,35
124,709,35
40,234,29
34,210,20
139,827,44
37,216,19
131,880,43
48,307,20
90,521,36
74,463,36
112,719,91
52,310,21
87,506,44
96,538,61
57,399,40
70,537,55
65,428,48
47,278,45
29,177,22
35,191,14
25,164,19
87,527,46
99,646,26
79,512,70
122,798,68
34,213,18
68,409,47
43,268,13
46,314,30
55,348,23
59,428,53
168,1019,125
77,457,47
53,325,29
149,929,104
75,506,54
46,328,31
80,530,44
105,616,37
60,454,20
98,616,49
102,595,60
55,335,44
72,467,53
102,601,79
48,260,34
88,579,70
25,151,14
60,382,33
53,304,27
92,509,31
67,378,38
57,295,29
44,276,27
121,747,32
33,201,26
62,357,43
84,478,6
89,577,75
43,269,29
39,245,34
28,160,24
73,463,59
195,1150,99
65,370,34
39,221,22
115,706,59
24,146,19
32,194,19
69,437,35
34,191,29
97,551,47
48,271,23
53,298,30
36,215,28
43,260,36
104,648,89
82,513,53
57,339,31
71,437,31
14,86,12
12,72,9
76,444,44
65,377,41
146,884,66
82,499,45
21,121,17
145,763,75
105,679,31
37,225,20
38,248,32
44,264,20
66,412,43
57,317,31
53,278,14
71,403,39
135,875,55
193,1239,157
106,612,71
107,665,73
67,419,57
57,358,34
82,460,24
36,200,28
48,251,15
130,839,116
101,609,53
27,183,16
34,209,28
48,325,18
81,497,48
54,286,12
114,723,50
78,450,40
90,484,43
140,849,103
66,440,36
52,309,24
44,247,24
49,303,34
22,143,17
58,347,30
67,409,32
27,161,23
121,747,60
131,802,36
83,465,41
163,972,75
141,816,81
26,152,21
35,248,27
41,306,26
26,160,24
79,461,27
78,453,60
195,1175,127
26,159,17
124,739,29
82,573,69
72,415,37
33,184,28
29,172,14
70,397,15
118,671,57
33,208,30
67,388,37
112,628,34
73,399,33
170,1066,70
46,267,33
30,167,13
69,428,47
88,473,23
103,656,88
128,818,39
127,900,59
51,291,36
